station_id,station_name,latitude,longitude,year,month,date,month_id,season,split,rainfall_mm,GSMaP_MVK,IMERG,LST,NDVI,PDIR,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,month_sin,month_cos,raster_x,raster_y,inside_raster_bounds,valid_predictor_count,missing_predictor_count,all_predictors_available
CL503,Chalna,22.6012,89.5195,2017,1,2017-01-01,2017_01,Winter,train,0.0,1.765300154685974,0.0,23.280000686645508,0.3041000068187713,10.4671630859375,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,0.4999999999999999,0.8660254037844387,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2017,1,2017-01-01,2017_01,Winter,train,0.0,3.242605209350586,0.0010000000474974,22.76499938964844,0.4519999921321869,12.070197105407717,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,0.4999999999999999,0.8660254037844387,89.4145,22.8093,True,15,0,True
CL509,Kapilmuni,22.6887,89.3088,2017,1,2017-01-01,2017_01,Winter,train,0.0,3.2736167907714844,0.0010000000474974,22.815000534057617,0.3264999985694885,11.50478458404541,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,0.4999999999999999,0.8660254037844387,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2017,1,2017-01-01,2017_01,Winter,train,0.0,2.5015628337860107,1.850521039159503e-05,24.895000457763672,0.3783000111579895,11.374858856201172,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,0.4999999999999999,0.8660254037844387,89.55,22.8319,True,15,0,True
CL515,Paikgacha,22.585,89.3182,2017,1,2017-01-01,2017_01,Winter,train,0.0,2.5667271614074707,0.0010000000474974,23.049999237060547,0.2904999852180481,4.497903823852539,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,0.4999999999999999,0.8660254037844387,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2017,1,2017-01-01,2017_01,Winter,train,0.0,1.89395534992218,0.0002770677383523,23.170000076293945,0.3680000007152557,12.297443389892578,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,0.4999999999999999,0.8660254037844387,89.59,22.79,True,15,0,True
CL503,Chalna,22.6012,89.5195,2017,2,2017-02-01,2017_02,Winter,train,0.0,0.0,0.0031354101374745,27.739999771118164,0.3495000004768371,0.0,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,0.8660254037844386,0.5000000000000001,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2017,2,2017-02-01,2017_02,Winter,train,0.0,2.186530113220215,0.0023738772142678,26.540000915527344,0.5673999786376953,0.0,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,0.8660254037844386,0.5000000000000001,89.4145,22.8093,True,15,0,True
CL509,Kapilmuni,22.6887,89.3088,2017,2,2017-02-01,2017_02,Winter,train,0.0,0.5782321691513062,0.0046141813509166,26.424999237060547,0.4192000031471252,19.300447463989258,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,0.8660254037844386,0.5000000000000001,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2017,2,2017-02-01,2017_02,Winter,train,0.0,6.169003009796143,0.0029850888531655,29.075000762939453,0.3811999857425689,0.0,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,0.8660254037844386,0.5000000000000001,89.55,22.8319,True,15,0,True
