month,N,RMSE,MAE,R2,Bias,Percent_Bias,Pearson_R,NSE,KGE
1,6,19.034034057043872,18.520077061435273,0.0,18.520077061435273,,,,
2,6,39.784627186268104,37.95322932070099,-1.3399023725573849,-26.91492925919152,-35.902529025155424,-0.7028703958977662,-1.3399023725573849,-0.9278245487128047
3,6,29.62203532104998,22.990480481198958,0.07727672853311551,-22.990480481198958,-40.46432469556871,0.9712108898039759,0.07727672853311551,0.28753319999318316
4,6,18.29731786596196,15.906782436699865,-0.22532014659811384,-15.906782436699865,-19.633963098168934,0.8975223151346275,-0.22532014659811384,0.5196769799048571
5,6,45.07463266538096,36.61959383659635,-1.6766218241911455,36.61959383659635,24.737397322627572,0.6553096511660201,-1.6766218241911455,0.5135850695930129
6,1,3.157306645953838,3.157306645953838,,3.157306645953838,1.623293905374724,,,
7,2,242.92511954642183,242.89050588371492,-796.8990495760278,-242.89050588371492,-59.45912016737208,1.0,-796.8990495760278,0.2378301215163977
8,1,112.6805947535812,112.6805947535812,,-112.6805947535812,-34.114621481556526,,,
9,6,65.41413852227234,47.47578647234362,-0.3198907399644966,47.47578647234362,27.07229793138773,0.722510336478459,-0.3198907399644966,0.23416928406708437
10,6,50.871461793680815,37.98109684995173,0.2850172113784599,7.521741055956454,3.0987672573289426,0.7849932869083488,0.2850172113784599,0.19343713069221202
11,6,50.32345220698845,43.76862194102134,-2.173742403181736,-43.76862194102134,-80.18678828889406,0.848602864868226,-2.173742403181736,-0.18089726365479897
12,6,12.391842475707334,10.81758437788684,-0.6487555050997351,-8.442287811984977,-41.45149498519628,0.38511650692978683,-0.6487555050997351,-0.08589293219967065
