year,month,CCS,CDR,CHIRPS,ERA5,GSMaP_Gauge,GSMaP_MVK,IMERG,LST,NDVI,PDIR,PERSIANN,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m
2017,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,7,1,1,0,0,0,0,0,4,0,1,1,0,0,0,0
2017,8,1,1,0,0,0,3,0,3,0,1,1,0,0,0,0
2017,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,11,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2017,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,6,1,1,0,0,0,0,0,3,0,1,1,0,0,0,0
2018,7,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
2018,8,1,1,0,0,0,3,0,4,0,1,1,0,0,0,0
2018,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,11,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2018,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,7,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,8,1,1,0,0,0,3,0,4,0,1,1,0,0,0,0
2019,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,11,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2019,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,7,1,1,0,0,0,0,0,4,0,1,1,0,0,0,0
2020,8,1,1,0,0,0,3,0,1,0,1,1,0,0,0,0
2020,9,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
2020,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,11,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,7,1,1,0,0,0,0,0,6,0,1,1,0,0,0,0
2021,8,1,1,0,0,0,3,0,4,0,1,1,0,0,0,0
2021,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,11,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2021,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2022,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2022,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2022,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2022,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2022,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2022,6,1,1,0,0,0,0,0,5,0,1,1,0,0,0,0
2022,7,1,1,0,0,0,0,0,4,0,1,1,0,0,0,0
2022,8,1,1,0,0,0,3,0,2,0,1,1,0,0,0,0
2022,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2022,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2022,11,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2022,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
