Station_ID,Stack_File,Status,Longitude,Latitude,Raster_X,Raster_Y,Valid_Predictor_Count,Total_Bands,Error,Year,Month,Month_ID
CL504,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_07.tif,Failed,89.4145,22.8093,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,7,2017_07
CL509,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_07.tif,Failed,89.3088,22.6887,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,7,2017_07
CL510,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_07.tif,Failed,89.55,22.8319,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,7,2017_07
CL515,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_07.tif,Failed,89.3182,22.585,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,7,2017_07
CL517,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_07.tif,Failed,89.59,22.79,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,7,2017_07
CL503,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_08.tif,Failed,89.5195,22.6012,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,8,2017_08
CL504,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_08.tif,Failed,89.4145,22.8093,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,8,2017_08
CL509,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_08.tif,Failed,89.3088,22.6887,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,8,2017_08
CL510,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_08.tif,Failed,89.55,22.8319,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,8,2017_08
CL515,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_08.tif,Failed,89.3182,22.585,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,8,2017_08
CL517,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_08.tif,Failed,89.59,22.79,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,8,2017_08
CL503,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_09.tif,Failed,89.5195,22.6012,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,9,2017_09
CL504,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_09.tif,Failed,89.4145,22.8093,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,9,2017_09
CL509,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_09.tif,Failed,89.3088,22.6887,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,9,2017_09
CL510,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_09.tif,Failed,89.55,22.8319,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,9,2017_09
CL515,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_09.tif,Failed,89.3182,22.585,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,9,2017_09
CL517,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_09.tif,Failed,89.59,22.79,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,9,2017_09
CL503,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_10.tif,Failed,89.5195,22.6012,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,10,2017_10
CL504,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_10.tif,Failed,89.4145,22.8093,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,10,2017_10
CL509,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_10.tif,Failed,89.3088,22.6887,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,10,2017_10
CL510,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_10.tif,Failed,89.55,22.8319,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,10,2017_10
CL515,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_10.tif,Failed,89.3182,22.585,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,10,2017_10
CL517,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_10.tif,Failed,89.59,22.79,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,10,2017_10
CL503,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_11.tif,Failed,89.5195,22.6012,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,11,2017_11
CL504,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_11.tif,Failed,89.4145,22.8093,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,11,2017_11
CL509,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_11.tif,Failed,89.3088,22.6887,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,11,2017_11
CL510,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_11.tif,Failed,89.55,22.8319,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,11,2017_11
CL515,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\predictor_stack\predictor_stack_2017_11.tif,Failed,89.3182,22.585,,,0,15,The EPSG code is unknown. PROJ: proj_create_from_database: C:\Users\HP\.conda\envs\geo\Library\share\proj\proj.db contains DATABASE.LAYOUT.VERSION.MINOR = 2 whereas a number >= 5 is expected. It comes from another PROJ installation.,2017,11,2017_11
