Year,Month,Month_ID,Band_Number,Band_Name,Source_File,Minimum,Maximum,Mean,Valid_Pixels,Total_Pixels,NoData_Pixels
2017,1,2017_01,1,CCS,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CCS\2017_01.tif,0.0,2.7586379051208496,0.3830708861351013,4589,8909,4320
2017,1,2017_01,2,CDR,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CDR\2017_01.tif,0.0,6.653239727020264,4.54103422164917,3576,8909,5333
2017,1,2017_01,3,CHIRPS,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\CHIRPS\2017_01.tif,2.6258790493011475,8.59769344329834,5.43703031539917,4732,8909,4177
2017,1,2017_01,4,ERA5,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\ERA5\2017_01.tif,0.02279118075966835,0.44060683250427246,0.23400209844112396,4833,8909,4076
2017,1,2017_01,5,GSMaP_Gauge,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_Gauge\2017_01.tif,0.0,0.12063635140657425,0.001499373116530478,4837,8909,4072
2017,1,2017_01,6,GSMaP_MVK,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\GSMaP_MVK\2017_01.tif,0.22905704379081726,10.557074546813965,3.4422621726989746,4837,8909,4072
2017,1,2017_01,7,IMERG,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\IMERG\2017_01.tif,0.0,0.0010000000474974513,0.00029944159905426204,4837,8909,4072
2017,1,2017_01,8,LST,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\LST\LST_Day_2017_1.tif,20.594999313354492,26.24333381652832,22.334518432617188,4340,8909,4569
2017,1,2017_01,9,NDVI,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\NDVI\NDVI_2017_1.tif,-0.19130000472068787,0.9294999837875366,0.4605327844619751,4413,8909,4496
2017,1,2017_01,10,PDIR,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\PDIR\2017_01.tif,1.0,40.166934967041016,12.15381145477295,4589,8909,4320
2017,1,2017_01,11,PERSIANN,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\monthly\PERSIANN\2017_01.tif,0.0,0.4000000059604645,0.061065662652254105,3576,8909,5333
2017,1,2017_01,12,Distance_Sea_meter,E:\Geospatial\Precipitation Downscaling\Precipitation-Downscaling-Khulna\data\processed\rasters_aligned\static\Distance_Sea_meter.tif,0.0,77480.6640625,24497.150390625,4837,8909,4072
