year,stations,mean_annual_total_rainfall_mm,min_annual_total_rainfall_mm,max_annual_total_rainfall_mm,mean_monthly_rainfall_mm
2017,6,2489.4166666666665,1969.0,3076.0,207.45138888888889
2018,6,1404.45,968.8,2370.2,117.03750000000001
2019,6,1942.9666666666665,1589.9,2284.4,161.9138888888889
2020,6,1904.6000000000001,1582.6,2517.4,158.71666666666667
2021,6,1863.6333333333332,1565.7,2458.0,155.30277777777778
2022,6,1822.5833333333333,1548.3,2398.8,151.88194444444443
