Metric,Value
Count,432.0
Missing,0.0
Minimum,0.0
Maximum,783.0
Mean,158.7173611111111
Median,109.45
Standard deviation,159.7669000954389
Dry months,66.0
IQR outliers,12.0
Extreme IQR outliers,0.0
IQR lower bound,-281.59999999999997
IQR upper bound,548.8
Extreme lower bound,-593.0
Extreme upper bound,860.1999999999999
