Feature_1,Feature_2,Pair_Correlation,Target_Correlation_Feature_1,Target_Correlation_Feature_2,Kept_Feature,Removed_Feature
CDR,IMERG,0.9644797348631453,0.8239580008164765,0.8276175685303749,IMERG,CDR
CHIRPS,IMERG,0.9608693105020315,0.8224497570344517,0.8276175685303749,IMERG,CHIRPS
CCS,PDIR,0.9536652550718778,0.7024184051356256,0.7160661214428559,PDIR,CCS
GSMaP_Gauge,IMERG,0.9377002171756936,0.8075291202920889,0.8276175685303749,IMERG,GSMaP_Gauge
Distance_Sea_meter,latitude,0.9371957109638266,0.12695518623642787,0.1002098986856556,Distance_Sea_meter,latitude
ERA5,IMERG,0.9301502251328894,0.7439708465735207,0.8276175685303749,IMERG,ERA5
PDIR,PERSIANN,0.901607981493525,0.7160661214428559,0.6871520569603227,PDIR,PERSIANN
