station_id,station_name,latitude,longitude,year,month,date,rainfall_mm
CL504,Dumuria,22.8093,89.4145,2017,7,2017-07-01,637.0
CL504,Dumuria,22.8093,89.4145,2017,8,2017-08-01,165.5
CL504,Dumuria,22.8093,89.4145,2017,9,2017-09-01,193.6
CL504,Dumuria,22.8093,89.4145,2017,10,2017-10-01,704.3
CL504,Dumuria,22.8093,89.4145,2017,11,2017-11-01,0.0
CL504,Dumuria,22.8093,89.4145,2017,12,2017-12-01,10.0
CL504,Dumuria,22.8093,89.4145,2018,1,2018-01-01,0.0
CL504,Dumuria,22.8093,89.4145,2018,2,2018-02-01,0.0
CL504,Dumuria,22.8093,89.4145,2018,3,2018-03-01,0.0
CL504,Dumuria,22.8093,89.4145,2018,4,2018-04-01,115.0
CL504,Dumuria,22.8093,89.4145,2018,5,2018-05-01,237.2
CL504,Dumuria,22.8093,89.4145,2018,6,2018-06-01,135.0
CL504,Dumuria,22.8093,89.4145,2018,7,2018-07-01,266.2
CL504,Dumuria,22.8093,89.4145,2018,8,2018-08-01,190.3
CL504,Dumuria,22.8093,89.4145,2018,9,2018-09-01,11.3
CL504,Dumuria,22.8093,89.4145,2018,10,2018-10-01,13.8
CL504,Dumuria,22.8093,89.4145,2018,11,2018-11-01,0.0
CL504,Dumuria,22.8093,89.4145,2018,12,2018-12-01,0.0
CL504,Dumuria,22.8093,89.4145,2019,1,2019-01-01,0.0
CL504,Dumuria,22.8093,89.4145,2019,2,2019-02-01,152.0
CL504,Dumuria,22.8093,89.4145,2019,3,2019-03-01,45.0
CL504,Dumuria,22.8093,89.4145,2019,4,2019-04-01,14.9
CL504,Dumuria,22.8093,89.4145,2019,5,2019-05-01,104.2
CL504,Dumuria,22.8093,89.4145,2019,6,2019-06-01,51.1
CL504,Dumuria,22.8093,89.4145,2019,7,2019-07-01,359.5
CL504,Dumuria,22.8093,89.4145,2019,8,2019-08-01,539.4
CL504,Dumuria,22.8093,89.4145,2019,9,2019-09-01,75.7
CL504,Dumuria,22.8093,89.4145,2019,10,2019-10-01,332.6
CL504,Dumuria,22.8093,89.4145,2019,11,2019-11-01,93.7
CL504,Dumuria,22.8093,89.4145,2019,12,2019-12-01,32.9
CL504,Dumuria,22.8093,89.4145,2020,1,2020-01-01,0.0
CL504,Dumuria,22.8093,89.4145,2020,2,2020-02-01,62.1
CL504,Dumuria,22.8093,89.4145,2020,3,2020-03-01,30.1
CL504,Dumuria,22.8093,89.4145,2020,4,2020-04-01,83.8
CL504,Dumuria,22.8093,89.4145,2020,5,2020-05-01,123.4
CL504,Dumuria,22.8093,89.4145,2020,6,2020-06-01,95.4
CL504,Dumuria,22.8093,89.4145,2020,7,2020-07-01,400.1
CL504,Dumuria,22.8093,89.4145,2020,8,2020-08-01,326.4
CL504,Dumuria,22.8093,89.4145,2020,9,2020-09-01,84.7
CL504,Dumuria,22.8093,89.4145,2020,10,2020-10-01,322.4
CL504,Dumuria,22.8093,89.4145,2020,11,2020-11-01,38.2
CL504,Dumuria,22.8093,89.4145,2020,12,2020-12-01,16.0
CL504,Dumuria,22.8093,89.4145,2021,1,2021-01-01,0.0
CL504,Dumuria,22.8093,89.4145,2021,2,2021-02-01,73.5
CL504,Dumuria,22.8093,89.4145,2021,3,2021-03-01,30.1
CL504,Dumuria,22.8093,89.4145,2021,4,2021-04-01,73.5
CL504,Dumuria,22.8093,89.4145,2021,5,2021-05-01,130.7
CL504,Dumuria,22.8093,89.4145,2021,6,2021-06-01,90.7
CL504,Dumuria,22.8093,89.4145,2021,7,2021-07-01,379.3
CL504,Dumuria,22.8093,89.4145,2021,8,2021-08-01,354.5
CL504,Dumuria,22.8093,89.4145,2021,9,2021-09-01,75.8
CL504,Dumuria,22.8093,89.4145,2021,10,2021-10-01,294.5
CL504,Dumuria,22.8093,89.4145,2021,11,2021-11-01,45.3
CL504,Dumuria,22.8093,89.4145,2021,12,2021-12-01,17.8
CL504,Dumuria,22.8093,89.4145,2022,1,2022-01-01,0.0
CL504,Dumuria,22.8093,89.4145,2022,2,2022-02-01,84.9
CL504,Dumuria,22.8093,89.4145,2022,3,2022-03-01,30.0
CL504,Dumuria,22.8093,89.4145,2022,4,2022-04-01,63.1
CL504,Dumuria,22.8093,89.4145,2022,5,2022-05-01,138.0
CL504,Dumuria,22.8093,89.4145,2022,6,2022-06-01,85.9
CL504,Dumuria,22.8093,89.4145,2022,7,2022-07-01,358.5
CL504,Dumuria,22.8093,89.4145,2022,8,2022-08-01,382.5
CL504,Dumuria,22.8093,89.4145,2022,9,2022-09-01,67.0
CL504,Dumuria,22.8093,89.4145,2022,10,2022-10-01,266.6
CL504,Dumuria,22.8093,89.4145,2022,11,2022-11-01,52.3
CL504,Dumuria,22.8093,89.4145,2022,12,2022-12-01,19.5
CL509,Kapilmuni,22.6887,89.3088,2017,1,2017-01-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2017,2,2017-02-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2017,3,2017-03-01,97.0
CL509,Kapilmuni,22.6887,89.3088,2017,4,2017-04-01,24.0
CL509,Kapilmuni,22.6887,89.3088,2017,5,2017-05-01,69.0
CL509,Kapilmuni,22.6887,89.3088,2017,6,2017-06-01,304.0
CL509,Kapilmuni,22.6887,89.3088,2017,7,2017-07-01,606.0
CL509,Kapilmuni,22.6887,89.3088,2017,8,2017-08-01,209.0
CL509,Kapilmuni,22.6887,89.3088,2017,9,2017-09-01,93.0
CL509,Kapilmuni,22.6887,89.3088,2017,10,2017-10-01,528.0
CL509,Kapilmuni,22.6887,89.3088,2017,11,2017-11-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2017,12,2017-12-01,39.0
CL509,Kapilmuni,22.6887,89.3088,2018,1,2018-01-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2018,2,2018-02-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2018,3,2018-03-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2018,4,2018-04-01,58.0
CL509,Kapilmuni,22.6887,89.3088,2018,5,2018-05-01,162.0
CL509,Kapilmuni,22.6887,89.3088,2018,6,2018-06-01,220.0
CL509,Kapilmuni,22.6887,89.3088,2018,7,2018-07-01,569.0
CL509,Kapilmuni,22.6887,89.3088,2018,8,2018-08-01,143.0
CL509,Kapilmuni,22.6887,89.3088,2018,9,2018-09-01,148.0
CL509,Kapilmuni,22.6887,89.3088,2018,10,2018-10-01,90.0
CL509,Kapilmuni,22.6887,89.3088,2018,11,2018-11-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2018,12,2018-12-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2019,1,2019-01-01,0.0
CL509,Kapilmuni,22.6887,89.3088,2019,2,2019-02-01,185.0
CL509,Kapilmuni,22.6887,89.3088,2019,3,2019-03-01,47.7
CL509,Kapilmuni,22.6887,89.3088,2019,4,2019-04-01,63.0
CL509,Kapilmuni,22.6887,89.3088,2019,5,2019-05-01,168.0
CL509,Kapilmuni,22.6887,89.3088,2019,6,2019-06-01,163.0
CL509,Kapilmuni,22.6887,89.3088,2019,7,2019-07-01,259.0
CL509,Kapilmuni,22.6887,89.3088,2019,8,2019-08-01,480.5
CL509,Kapilmuni,22.6887,89.3088,2019,9,2019-09-01,292.0
