station_id,station_name,latitude,longitude,year,month,date,month_id,season,month_sin,month_cos,rainfall_mm,CCS,CDR,CHIRPS,ERA5,GSMaP_Gauge,GSMaP_MVK,IMERG,LST,NDVI,PDIR,PERSIANN,Distance_Sea_meter,Land_Aspect_Degree_30m,Land_Khulna_SRTM_DEM,Land_Slope_Degree_30m,raster_x,raster_y,inside_raster_bounds,valid_predictor_count,missing_predictor_count,all_predictors_available
CL504,Dumuria,22.8093,89.4145,2018,6,2018-06-01,2018_06,Monsoon,1.2246467991473532e-16,-1.0,135.0,297.3377990722656,333.2440490722656,259.814208984375,318.1389465332031,354.7690734863281,258.5923156738281,0.3903402388095855,,0.5235999822616577,345.5063171386719,315.0763854980469,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,89.4145,22.8093,True,14,1,False
CL509,Kapilmuni,22.6887,89.3088,2018,6,2018-06-01,2018_06,Monsoon,1.2246467991473532e-16,-1.0,220.0,,359.48272705078125,286.66033935546875,319.36773681640625,363.0962524414063,275.9633483886719,0.4165571928024292,29.13999938964844,0.4120000004768371,,356.66339111328125,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2018,6,2018-06-01,2018_06,Monsoon,1.2246467991473532e-16,-1.0,240.0,351.9052734375,346.1209716796875,258.8233947753906,340.63055419921875,394.8547058105469,295.8572998046875,0.4048641920089721,,0.3120999932289123,402.7109680175781,310.3772277832031,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,89.55,22.8319,True,14,1,False
CL515,Paikgacha,22.585,89.3182,2018,6,2018-06-01,2018_06,Monsoon,1.2246467991473532e-16,-1.0,148.0,435.0530395507813,382.3494567871094,297.0251159667969,325.39019775390625,389.65576171875,374.1551513671875,0.4567264318466186,28.549999237060547,0.4828999936580658,530.3423461914062,389.3890380859375,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,89.3182,22.585,True,15,0,True
CL517,Rupsa,22.79,89.59,2018,6,2018-06-01,2018_06,Monsoon,1.2246467991473532e-16,-1.0,224.3,357.7212829589844,353.22784423828125,249.811279296875,354.26287841796875,396.7462463378906,328.1847839355469,0.4312188327312469,28.01000022888184,0.4704000055789947,406.6408386230469,313.1982727050781,50599.09375,140.3240509033203,3.7103257179260254,1.5449576377868652,89.59,22.79,True,15,0,True
CL503,Chalna,22.6012,89.5195,2018,7,2018-07-01,2018_07,Monsoon,-0.4999999999999997,-0.8660254037844388,716.7,364.5092468261719,,372.2409973144531,349.2197570800781,563.3392944335938,185.87586975097656,0.583590567111969,28.690000534057617,0.5550000071525574,467.6222839355469,,31467.640625,108.51805877685548,3.4914283752441406,1.7203952074050903,89.5195,22.6012,True,13,2,False
CL504,Dumuria,22.8093,89.4145,2018,7,2018-07-01,2018_07,Monsoon,-0.4999999999999997,-0.8660254037844388,266.2,305.1018371582031,379.8236999511719,378.9885864257813,360.1806030273437,445.8266296386719,152.7213592529297,0.5431756973266602,,0.7376999855041504,342.8466491699219,240.98773193359372,57738.24609375,152.4185333251953,5.504084587097168,1.9329872131347656,89.4145,22.8093,True,14,1,False
CL509,Kapilmuni,22.6887,89.3088,2018,7,2018-07-01,2018_07,Monsoon,-0.4999999999999997,-0.8660254037844388,569.0,,388.3291015625,419.0350341796875,364.25396728515625,428.9237976074219,198.54046630859372,0.5598520040512085,31.01000022888184,0.4833999872207641,,245.51388549804688,48315.43359375,157.5592803955078,4.3667826652526855,1.917250394821167,89.3088,22.6887,True,13,2,False
CL510,Khulna,22.8319,89.55,2018,7,2018-07-01,2018_07,Monsoon,-0.4999999999999997,-0.8660254037844388,267.0,314.2630920410156,382.7245178222656,357.7993469238281,353.7587280273437,520.9962158203125,149.9713592529297,0.541382908821106,,0.5029000043869019,373.1681518554688,257.31201171875,56018.875,154.1371307373047,6.754478931427002,2.105170726776123,89.55,22.8319,True,14,1,False
CL515,Paikgacha,22.585,89.3182,2018,7,2018-07-01,2018_07,Monsoon,-0.4999999999999997,-0.8660254037844388,425.0,361.5401916503906,397.0032958984375,407.9876403808594,364.8565368652344,465.7307739257813,229.9093170166016,0.5775142908096313,29.950000762939453,0.321399986743927,423.7251586914063,257.2324523925781,37890.0703125,129.93092346191406,4.656047344207764,1.6002691984176636,89.3182,22.585,True,15,0,True
